timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,sma_20,ema_20,atr,price_change,volume_sma,volume_ratio,price_momentum_5,price_momentum_10,volatility,trend_5,trend_10,rsi_sentiment,macd_sentiment,sentiment_score,future_return_5,future_return_10,label
2026-04-08 01:00:00,71710.19,71758.6,71452.68,71476.97,621.6206,77.87925950196596,614.9844441773312,242.05374025573587,372.9307039215953,69238.9135,71893.63795624397,66584.18904375602,69238.9135,69762.10826958298,698.7785714285731,-0.0032522574546239857,1103.8087705,0.5631596854574911,0.03112520176533584,0.04853985955307527,0.007183377896486937,1,1,-1,1,0.19999999999999996,0.003577655851947803,0.0027722215980894305,1
2026-04-08 02:00:00,71476.98,71727.01,71240.99,71364.94,1153.76247,76.1627661372086,654.8410921460745,324.6221858627505,330.21890628332403,69378.743,72175.55346524972,66581.93253475029,69378.743,69917.59730016047,696.413571428572,-0.0015673579895734147,1137.0599005,1.0146892608671323,0.02055410421401338,0.04594680433047116,0.007186016599034118,1,1,-1,1,0.19999999999999996,0.0036803786284973494,0.009906965521164768,1
2026-04-08 03:00:00,71364.95,71479.97,71277.18,71287.39,441.23135,77.28698398182404,672.5849983521475,394.22214949824354,278.362848853904,69511.882,72409.24572443782,66614.51827556218,69511.882,70050.24455835934,679.7735714285726,-0.0010866680473633483,1143.730516,0.38578261559648724,-0.0031700046801965698,0.037574406007294,0.007215437848713804,-1,1,-1,1,-0.39999999999999997,0.0071907528105601415,0.004385347815371032,1
2026-04-08 04:00:00,71287.39,71676.77,71287.38,71566.18,721.11279,83.65196007206787,700.1940368505166,455.42173325350177,244.7723035970148,69643.35549999999,72666.72118952006,66619.98981047992,69643.35549999999,70196.80949766855,672.2571428571443,0.003910789832535455,1162.8394270000001,0.620131011433275,-0.00497801714081858,0.04563902006544751,0.007204668674137307,-1,1,-1,1,-0.39999999999999997,0.0015746264506504293,-0.009128613543436193,1
2026-04-08 05:00:00,71566.66,71831.6,71560.0,71731.1,821.79755,83.21698531852132,726.4975840844127,509.640593364094,216.85699072031866,69772.408,72924.70878933229,66620.1072106677,69772.408,70344.9350531339,653.3292857142868,0.002304440449385714,1182.0829039999999,0.6952114333259997,0.0002915903583577961,0.039411087664062094,0.007199925175608875,1,1,-1,1,0.19999999999999996,-0.0035426753528108312,-0.0058705359321131745,1
2026-04-08 06:00:00,71731.1,71941.42,71581.14,71732.69,811.19618,83.02614408665413,738.8936856657674,555.4937083054659,183.39997736030148,69947.146,73128.61096145799,66765.681038542,69947.146,70478.73892512146,652.6907142857152,2.216611762539955e-05,1177.6920859999998,0.6888015888390713,0.003577655851947803,0.0348142128775224,0.0062958362924264944,1,1,-1,1,0.19999999999999996,-0.0008025629597887551,-0.001820508892110384,1
2026-04-08 07:00:00,71732.7,71902.0,71573.04,71627.59,943.84918,79.61943960098934,731.9985208510916,590.7962084553346,141.20231239575696,70111.238,73283.45508551368,66939.02091448632,70111.238,70589.37779265728,618.9178571428586,-0.0014651618390444376,1194.949034,0.7898656370644842,0.0036803786284973494,0.024310129728387864,0.006356274550789615,1,1,-1,1,0.19999999999999996,0.006203754726356259,0.0036382628537412476,1
2026-04-08 08:00:00,71627.59,71831.08,71627.59,71800.0,501.15204,84.67507895557615,731.6045161875081,618.9588513266486,112.64566486085948,70281.629,73431.07041100334,67132.18758899666,70281.629,70705.84133240451,603.8000000000019,0.002407033379177026,1183.0727835,0.42360203614640923,0.0071907528105601415,0.00399795341030007,0.0063438618510116805,1,1,-1,1,0.19999999999999996,-0.0027853760445682996,-0.00975445682451248,1
2026-04-08 09:00:00,71799.99,71955.0,71588.75,71678.87,419.9995,80.35687461592718,713.5022297979303,637.8680541325471,75.63417566538328,70453.973,73506.92235918893,67401.02364081106,70453.973,70799.35795912243,577.0792857142878,-0.0016870473537604624,1162.9697035,0.3611439736873593,0.0015746264506504293,-0.00341122920763004,0.006319440104303931,1,-1,-1,1,0.19999999999999996,-0.010686412885694052,-0.005027841538238542,2
2026-04-08 10:00:00,71678.87,71790.0,71457.61,71476.98,514.219,75.16145810252603,675.4296074480808,645.3805323295159,30.04907511856493,70634.798,73460.94500589512,67808.65099410487,70634.798,70864.4267503532,563.395000000002,-0.0028165901610892607,1118.8756125,0.4595854930210127,-0.0035426753528108312,-0.0032521180044287057,0.006171435579128202,-1,-1,-1,1,-0.39999999999999997,-0.002336136753399387,-0.0014557134338916145,1
2026-04-08 11:00:00,71476.97,71739.67,71407.77,71675.12,779.27898,72.53428861757149,653.3562245353678,646.9756992294148,6.380525305953029,70810.149,73418.6964540997,68201.60154590031,70810.149,70942.21250541933,522.4707142857161,0.002772081305058016,1103.616792,0.7061137395234559,-0.0008025629597887551,0.0027722215980894305,0.0061552053124974415,-1,1,-1,1,-0.39999999999999997,-0.0010187635542150408,-0.0017262614977134882,1
2026-04-08 12:00:00,71675.12,72181.81,71581.76,72071.95,1226.00544,60.377786707146385,659.6284234953055,649.5062802002514,10.122143295054116,71002.247,73365.04452178896,68639.44947821104,71002.247,71050.53337348172,451.02000000000197,0.005536509740060369,1132.2038615,1.0828486650590707,0.006203754726356259,0.009906965521164768,0.006178006296667726,1,1,0,1,0.6,-0.0025496743185108306,-0.013973674917911905,2
2026-04-08 13:00:00,72071.95,72857.0,71510.0,71600.01,2821.31683,44.104350862134744,620.043578546567,643.6136725878296,-23.570094041262564,71146.957,73258.7402643884,69035.17373561159,71146.957,71103.18411561154,435.3700000000016,-0.00654817859097756,1215.8844715,2.320382319316429,-0.0027853760445682996,0.004385347815371032,0.0064275395649224425,-1,1,0,-1,-0.6,-0.006988546509979376,-0.007403350921319718,1
2026-04-08 14:00:00,71600.0,71751.42,70707.23,70912.88,1895.54834,37.62966732554071,528.0689714233886,620.5045212670508,-92.43554984366222,71270.4745,72963.74109245202,69577.20790754797,71270.4745,71084.95981395386,469.30214285714464,-0.009596786369163723,1279.141254,1.4818913345750009,-0.010686412885694052,-0.009128613543436193,0.006823873609070904,-1,-1,0,-1,-0.6,0.005719694362998462,-0.0013732343122998536,1
