Total Return (%),CAGR (%),Sharpe Ratio,Sortino Ratio,Profit Factor,Win Rate (%),Max Drawdown (%),Recovery Factor,Calmar Ratio,Annualized Volatility (%),Time Underwater (bars),Ulcer Index,Max Consecutive Losses,Trade Events,Benchmark Return (%),Alpha vs Benchmark (%),Benchmark Sharpe Ratio,IS_Total Return (%),IS_CAGR (%),IS_Sharpe Ratio,IS_Sortino Ratio,IS_Profit Factor,IS_Win Rate (%),IS_Max Drawdown (%),IS_Recovery Factor,IS_Calmar Ratio,IS_Annualized Volatility (%),IS_Time Underwater (bars),IS_Ulcer Index,IS_Max Consecutive Losses,IS_Trade Events,IS_Benchmark Return (%),IS_Alpha vs Benchmark (%),IS_Benchmark Sharpe Ratio,Walk-Forward Efficiency,IS Annualized Return,OOS Annualized Return,Fold
-2.125816691817106,-52.900964039964514,-5.8542053496671835,-6.696890072849897,0.7451053012996536,44.086021505376344,-4.3985381305184275,-0.48330073054670775,-12.026942240859787,13.05684184379467,195.0,0.027924186559532282,3.0,93.0,-0.8084640198007476,-1.3173526720163586,-0.04065122414881992,19.296912206510484,184.96479109632222,5.709538271401336,8.60476578164236,1.3449615936708434,50.33444816053512,-3.637359037451543,5.3051986366544,50.85139772891785,18.284217120016404,950.0,0.010025564519363012,6.0,598.0,-12.794234678476379,32.09114688498686,-0.8319897644483001,-0.2860055890983913,1.8496479109632222,-0.5290096403996452,1
-1.4075571172631252,-39.147180090302214,-3.3756273097655423,-4.434395901428401,0.8583199557741533,41.66666666666667,-3.486955235121969,-0.4036636613758796,-11.226751549889885,14.975635382594628,205.0,0.01934866882877889,6.0,96.0,12.549884397915335,-13.95744151517846,9.167330929104999,23.730852963466287,253.87771249630333,6.7177682894245425,10.421594778189611,1.4170575289702694,51.15511551155115,-2.7438539129873716,8.64873047764752,92.52595821323953,18.777985069301458,989.0,0.008527814501231407,6.0,606.0,-8.328192473781403,32.05904543724769,-0.3941804681343824,-0.15419699392033961,2.5387771249630333,-0.39147180090302214,2
0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7911872411554342,-1.7911872411554342,1.540968487350882,29.380490674480143,361.2503875648855,7.857166244413727,12.229455688797385,1.4610275532991688,51.33136094674556,-3.0904556986208167,9.50684738421969,116.89227181806922,19.444202669394045,918.0,0.00819302292325243,7.0,676.0,26.533087855742043,2.8474028187380984,2.3254386766423707,0.0,3.612503875648855,0.0,3
-4.13446927920692,-77.22526507217897,-8.301612903397746,-10.223554383194287,0.5804314125692988,38.70967741935484,-4.171929820771806,-0.9910208121482842,-18.510681720406392,17.869696740747248,242.0,0.02716120178254965,4.0,62.0,-10.549136786188807,6.4146675069818855,-8.481924963061338,29.968384753063184,373.82966810287365,7.296465720654237,12.295887085410596,1.4805398364286577,49.680511182108624,-3.3741570618820633,8.881739706671267,110.79201745705224,21.35972742458011,950.0,0.011309534440616952,5.0,626.0,19.434229210771715,10.534155542291469,1.9193692486744938,-0.20657874872287413,3.7382966810287366,-0.7722526507217897,4
-3.566977883796918,-71.9927003523577,-7.857154830077948,-9.81979359254053,0.6686558255605044,39.285714285714285,-5.982600704113219,-0.5962252973601452,-12.033679650868317,16.283170218765335,211.0,0.027961916810176676,4.0,84.0,-5.683881854034512,2.1169039702375936,-4.34255617128967,17.7621245184576,163.88550770603132,5.159566365516147,7.540087693316605,1.295771202684522,49.9176276771005,-3.3686056665149735,5.2728417264801415,48.65084368143951,18.760681583225054,1248.0,0.012155107880761308,5.0,607.0,-6.308586317271681,24.07071083572928,-0.35121576903645385,-0.4392865565727398,1.6388550770603132,-0.7199270035235771,5
-4.388406338836381,-79.24656825602764,-10.323292372086643,-11.58279893330522,0.5612248217985396,38.75,-4.729627188404501,-0.9278545991099085,-16.755351975799346,15.311033063407736,246.0,0.0273643030105393,4.0,80.0,-6.558976780836012,2.170570441999631,-4.49954743799606,11.610010627861044,91.91824036092633,3.10369372596538,4.439415600335229,1.1797733143978424,47.81931464174455,-5.561860216566835,2.0874330126598446,16.526528316395666,21.07378762001327,1288.0,0.017439777431273583,5.0,642.0,2.569857390938113,9.040153236922933,0.5160958972501677,-0.8621419203071984,0.9191824036092633,-0.7924656825602765,6
-4.931767826688837,-83.0034392363139,-6.493596981710039,-7.231842428568619,0.7788428182174548,43.103448275862064,-6.1974961601287,-0.7957677906147218,-13.393060212011525,27.03272815206449,243.0,0.04441030251393528,6.0,174.0,-16.070722649398995,11.138954822710156,-4.5095292837319,15.953445073354455,140.7248294425879,4.251931459485702,6.099638936614102,1.242636387776814,48.86877828054298,-4.751869773606794,3.357298460063937,29.614622484861165,20.693705976701544,1276.0,0.019709375921216025,5.0,663.0,-7.1963818674084745,23.149826940762928,-0.6196264955500496,-0.5898279611713949,1.4072482944258788,-0.8300343923631389,7
-2.925269798846364,-64.66533531785761,-4.892976028977647,-5.4728801506855635,0.8108249043794825,47.5177304964539,-4.32497396870012,-0.6763670301871342,-14.951612607576667,21.209138452874697,226.0,0.01972671228441204,5.0,141.0,-4.676496881116865,1.7512270822705012,-2.589727750090036,10.097695708860899,76.99137115244483,2.8505563384523693,4.072193226293522,1.1650717209535626,47.64150943396226,-7.001537113266848,1.4422112666841829,10.996352644701103,20.029540314099506,1364.0,0.032432751825279514,6.0,636.0,-23.53831584375027,33.636011552611166,-2.096043640509479,-0.839903671670149,0.7699137115244483,-0.6466533531785761,8
5.337670517223336,518.4907327690877,11.99622647949811,34.02941212825103,2.41517551304927,48.38709677419355,-0.8146575036624075,6.552042414422119,636.4524115203501,15.118248463095869,124.0,0.0019080959798912977,3.0,62.0,2.3621582798712293,2.975512237352107,1.8231635130843313,10.799013339266628,83.78866144676043,3.0681431585434815,4.3872221113656495,1.184369999818825,48.333333333333336,-5.664518783379636,1.9064308465093633,14.791841046163746,19.82406477075078,1345.0,0.02599082410305928,6.0,600.0,-33.433115987206875,44.232129326473505,-3.3085453266974865,6.188077525245326,0.8378866144676043,5.184907327690877,9
-4.614068866646381,-80.89571903642505,-13.381594036845287,-15.22678065221837,0.4481915730283676,32.35294117647059,-5.1898698256855536,-0.889052909152088,-15.587234700195811,12.460045734345867,176.0,0.02897675099164985,12.0,68.0,-30.809666202119026,26.19559733547264,-11.922842148801744,8.615060054875734,63.30743891929558,2.8079780625064963,3.721046662656727,1.152623438957548,48.1421647819063,-4.480068779928912,1.9229749537489098,14.130907811710006,17.287850568075704,1202.0,0.016734508019336552,6.0,619.0,-31.806383419237306,40.42144347411304,-3.0725285258003474,-1.2778232766539654,0.6330743891929558,-0.8089571903642505,10
