timestamp,close,rsi,macd_hist,ema_slope,adx,rsi_15m,volatility,target_up_h12
2026-05-21 11:00:00+00:00,77269.1,43.5447,-85.9789,-0.0005,14.0767,34.0423,0.0133,
2026-05-21 10:00:00+00:00,77204.9,42.0016,-66.9321,-0.0006,13.818,26.9768,0.0132,
2026-05-21 09:00:00+00:00,77634.1,50.5845,-26.8015,-0.0001,13.647,40.0729,0.0121,
2026-05-21 08:00:00+00:00,77920.9,57.9296,-6.8695,0.0003,14.4488,53.5383,0.0129,
2026-05-21 07:00:00+00:00,77893.9,57.3887,-6.429,0.0003,14.2603,55.3447,0.0133,
2026-05-21 06:00:00+00:00,77622.7,51.5828,-5.1978,-0.0,15.0847,37.5499,0.013,
2026-05-21 05:00:00+00:00,77829.6,57.0937,22.0328,0.0002,16.1408,47.6783,0.0126,
2026-05-21 04:00:00+00:00,78042.1,63.5709,39.7685,0.0006,16.4664,59.7434,0.0121,
